stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
confirmation,4211,1,0.9018268073866486,0.8991939679269871,0.8831532001495361,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,4211,2,0.8370954195316976,0.8338025766241869,0.8411597609519958,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,4211,3,0.904748213510413,0.899627188371473,0.8935975432395935,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,4211,4,0.8919319262266072,0.8873734120537096,0.8818938732147217,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
confirmation,1701,0,0.8643820027243467,0.8626698694943564,0.8171144127845764,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,1701,1,0.9068015130629644,0.9050074374467821,0.8967999815940857,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,1701,2,0.8565013515885591,0.8554395059431027,0.8683775663375854,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,1701,3,inf,inf,0.9159307479858398,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,1701,4,0.9299109894067237,0.9273954392086546,0.9361453056335449,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,2909,0,0.8984097550599475,0.8953159303319808,0.839083194732666,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,2909,1,0.9199199999014266,0.9176913183154133,0.9117847084999084,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,2909,2,0.8487724226356986,0.8455709414815773,0.8668702840805054,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,2909,3,inf,inf,0.9291353225708008,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,2909,4,0.9556625490715207,0.9516098934317971,0.9437332153320312,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,4211,0,inf,inf,0.838374674320221,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,4211,1,inf,inf,0.9259647130966187,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,4211,2,0.892765386835112,0.8896348391373909,0.8845832347869873,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,4211,3,inf,inf,0.8988924026489258,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
confirmation,4211,4,inf,inf,0.9384092688560486,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
