stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
confirmation,1701,3,0.9452414646231986,0.9411442288985945,0.9197964668273926,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,1701,4,0.895512105359755,0.8934571124978126,0.9096508026123047,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,2909,0,0.8451002387348637,0.841491784797114,0.7932755947113037,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,2909,1,0.9117818903504975,0.9097243328676848,0.8958401679992676,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,2909,2,0.8423651665144988,0.8386519711989584,0.8319492936134338,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,2909,3,0.8848183116365842,0.8814826658517483,0.8829866647720337,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,2909,4,0.8871553273934646,0.8845490262298982,0.8880386352539062,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,4211,0,0.8590911336967584,0.8563826351315096,0.7977867722511292,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,4211,1,0.9175197381109067,0.9149681760619968,0.896388053894043,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,4211,2,0.8568371055594065,0.8522949974275804,0.8461830615997314,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,4211,3,0.8950494821740672,0.8909681275347634,0.8853469491004944,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
confirmation,4211,4,0.9169758964365562,0.9117578907839924,0.9067744016647339,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
